Место	Страна	Игрок	Сумма	Без минусов	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
183	BLR	Михаил Наталевич	0																
184	BLR	Алексей Сазонов	0																
185	BLR	Сергей Генералов	0																
186	BLR	Анна Шостачук	-10		1	2			-3		1	-3	2	4		1	-6		0
187	AZE	Даниил Михайлов	-10			-5	-3	1	-1	-4	-1	2	-1	9	-5	3	1	3	0
188	UKR	Антон Куперман	-10		1	1	1	-1	3	0	-1	-1	-2	0	0	1	-4	1	0
189	UKR	Михаил Шлахтер	-10		-1	1	-3	1	-5	1	1	3	-3	0	0	-4	2	6	0
190	UKR	Валерий Ярёменко	-10		1	1	-1	1	-1	0	1					-4	1	1	-1
191	POL	Лукаш Григорович	-10		-2	-1	4	0	1	0	0	0	0	-5	0	1	0	1	0
192	RUS	Дмитрий Диденко	-10		-1	3	1	-1	3	-3	-3		-3	-1		1	2	1	0
193	AZE	Санан Наджафов	-10		3	0	3	-1	-2	-3	0	-1	0	0	-2	1	1	0	0
194	BLR	Юлия Шилкина	-10		1	3	0	0	-2	0	-3	-3	2	-1	0	-2	4	0	0
195	UKR	Глеб Дяченко	-20		3	3	-1	-1	-1	-3	-4	0	0	-2	-2	1	3	1	1
196	RUS	Иван Зепнов	-20		0	0	1	0	-3	-4	-1	-1	-5	2	0	0	7	4	-2
197	UKR	Олег Омельченко	-40			-7	-1		-4	-2		-1		3	-2	3	2	5	0
198	RUS	Артём Земцовский	-50		1	1	1	-1	-4	-1	1	2	-6	2	2	0	4	-7	0
199	UKR	Богдан Лысак	-60		1	0	-2	0	1	0	-2	-3	0	0	-2	1	-1	1	0
200	BLR	Максим Трофимов	-60		1	0	-5	0	-2	0	0	0	0	0	0	0	0	0	0
201	BLR	Роман Жижнов	-60		-4	-1	-2	-1	3	-1	1	2	3	0	0	1	-6	-1	0
202	RUS	Алексей Коровин	-70		1	-2	-3	0	-9	0	1	4	2	-5	0	-2	3	1	2
203	BLR	Никита Кучин	-70		-3	1	1	-5	-3	-3	4	0	-1	0	0	3	1	-3	1
204	POL	Егор Старовойтов	-90		-3	-2	0	-1	-4	-2	3	2	0	-5	-2	1	1	0	3
205	LAT	Анна Халатян	-110		-4	1			6	-3	1	-4		-2		-2		-4	
206	ARM	Тигран Мугнецян	-170		1	1	0	1	-4	-2	-4	-1	-3	-5	0	-2	-1	1	1
207	RUS	Глеб Русских	-200		1	-5	-4	-1	-5	-2	1	-3	-4	-1	1	1	-1	3	-1
208	AZE	Масума Сулейманова	-270		1	-1	0	0	-5	-7	1	-5	2	-5	-3	-5	1	4	-5
209	RUS	Семён Маторыгин	-330		-7	1	-5		3	-2	-4	-5	-2	-3		-8	-1	-1	1
210	AZE	Сара Салаева	-330		-4	1	0	1	-9	-8	-4	-8	3	3	3	-14	3	0	0
